유닛ID,등급,유닛이름,회수경로,출처,계산식,basis축,basis대응,공격타입,피해타입,비고,absolute_cooldown_s,쿨근거버프,쿨근거능력,rand_min,rand_max,rand_mean,더미채널판정,더미_피해값,원작게이트,게이트확신도,평타트리거유닛,더미채널판정_검증
h07M,불멸의,카이도 사황'백수의 왕' - 불멸의,트리거,Trig_Kaido_Attack,s__TrigVariables__get_realD(GlobalTV),앞단계중간값,❌ 스키마에 없음,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"(Stage[GlobalTV]==4) ‖ (Stage[GlobalTV]==4) AND (GetEventDamage()>=10.00) ‖ (Stage[GlobalTV]==4) AND GetRandomInt(1,10)<5 ‖ (Stage[GlobalTV]==4) AND NOT(GetRandomInt(1,10)<5) ‖ (Stage[GlobalTV]==5) ‖ (Stage[GlobalTV]==5) AND (GetEventDamage()>=10.00) ‖ (Stage[GlobalTV]==6) ‖ (Stage[GlobalTV]==6) AND GetRandomInt(1,10)<5 ‖ (Stage[GlobalTV]==6) AND NOT(GetRandomInt(1,10)<5) ‖ (무조건) ‖ Stage[GlobalTV]",추정(지점 여럿),h07M,
h07M,불멸의,카이도 사황'백수의 왕' - 불멸의,트리거,Trig_Kaido_Attack,500000.00,Flat,✅ Flat,HERO,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,(Stage[GlobalTV]==6),확정,h07M,
h07M,불멸의,카이도 사황'백수의 왕' - 불멸의,더미,Trig_Kaido_Attack → e0H5(#불멸 카이도우 [공통] 번개) → A0SZ,Wrs1=70000,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],2범위 카이도우 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AOws 전쟁의 함성 — 피해,"70,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h07M,불멸의,카이도 사황'백수의 왕' - 불멸의,더미,Trig_Kaido_Attack → e0MP(#불멸 카이도우 버프더미-기본) → A0ZX,Inf1=0.35 Inf4=0.5,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],!카이도-분노공증 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h07M,불멸의,카이도 사황'백수의 왕' - 불멸의,더미,Trig_Kaido_Attack → e0MP(#불멸 카이도우 버프더미-기본) → A0ZO,Blo1=0.01,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],^카이도 버프 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h07N,변화된,베이비 5 초토화 모드 - 변화된,트리거,Trig_Transpom6,145000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,9)==3",확정,h07N,
h07N,변화된,베이비 5 초토화 모드 - 변화된,트리거,Trig_Transpom6,101500.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,9)==3",확정,h07N,
h07N,변화된,베이비 5 초토화 모드 - 변화된,트리거,Trig_Transpom6,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.01)+0.00)",대상현재체력,✅ TargetCurrentHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,0.7,0.7,0.7,해당없음(트리거 채널),,"GetRandomInt(1,9)==3 AND GetUnitPointValue(GetTriggerUnit())==200",확정,h07N,
h07N,변화된,베이비 5 초토화 모드 - 변화된,트리거,Trig_Transpom6,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.089))",대상최대체력,✅ TargetMaxHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,9)==3 AND GetUnitPointValue(GetTriggerUnit())==200 ‖ GetRandomInt(1,9)==3 AND 버프보유(GetTriggerUnit(),'B06B')==true",추정(지점 여럿),h07N,
h084,제한됨,시노부 뇌쇄 쿠노이치 - 제한됨,트리거,Trig_Sinobu_Attack,600000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,8)==5",확정,h084,
h084,제한됨,시노부 뇌쇄 쿠노이치 - 제한됨,트리거,Trig_Sinobu_Attack,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.02)",대상최대체력,✅ TargetMaxHpPercent,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,8)==5 AND GetUnitPointValue(GetTriggerUnit())<200 ‖ GetRandomInt(1,8)==5 AND GetUnitPointValue(GetTriggerUnit())==200 ‖ NOT(시전자체력==50.00)",추정(지점 여럿),h084,
h084,제한됨,시노부 뇌쇄 쿠노이치 - 제한됨,트리거,Trig_Sinobu_Attack,"((GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*0.08)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))",대상최대체력+능력레벨,✅ TargetMaxHpPercent+계수(대상A11S(폭발형 피해 감수도) 축),MELEE,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,8)==5 AND GetUnitPointValue(GetTriggerUnit())<200",확정,h084,
h084,제한됨,시노부 뇌쇄 쿠노이치 - 제한됨,더미,Trig_Sinobu_Attack → e0HZ(!전설 시노부 더미4) → A0U5,Owk1=0.9,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],더미 사운드-시노부 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h088,영원한,토트 무지카 봉인된 악보의 괴물 - 영원한,트리거,Trig_Uta_Tots,500000.00,Flat,✅ Flat,HERO,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,4)==1",확정,h088,
h08R,영원한,참된 호걸 코즈키 오뎅 - 영원한,트리거,Trig_Odeng_Attack,1500000.00,Flat,✅ Flat,HERO,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,14)==1",확정,h08R,
h08R,영원한,참된 호걸 코즈키 오뎅 - 영원한,트리거,Trig_Odeng_Attack,1150000.00,Flat,✅ Flat,HERO,NORMAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,(무조건),확정,h08R,
h09Z,전설적인,네코마무시 밤의 왕 - 전설적인,트리거,Trig_Legend32,"(222500.00+(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetEnumUnit())*(0.01*0.24)))",대상최대체력,✅ TargetMaxHpPercent,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,7)==3",확정,h09Z,
h09Z,전설적인,네코마무시 밤의 왕 - 전설적인,트리거,Trig_Legend32,20000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,(무조건),확정,h09Z,
h09Z,전설적인,네코마무시 밤의 왕 - 전설적인,트리거,Trig_Legend32,"(GetUnitStateSwap(UNIT_STATE_MAX_LIFE,GetTriggerUnit())*(0.06))",대상최대체력,✅ TargetMaxHpPercent,CHAOS,UNIVERSAL,,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,7)==3 AND 버프보유(GetTriggerUnit(),'B06B')==true",확정,h09Z,
h0AD,불멸의,카이도 사황'백수의 왕' - 불멸의,더미,Trig_Kaido_Dragon_Attack → e0MP(#불멸 카이도우 버프더미-기본) → A0ZX,Inf1=0.35 Inf4=0.5,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],!카이도-분노공증 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h0AD,불멸의,카이도 사황'백수의 왕' - 불멸의,더미,Trig_Kaido_Dragon_Attack → e0MP(#불멸 카이도우 버프더미-기본) → A0ZO,Blo1=0.01,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],^카이도 버프 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h0AI,제한됨,킹 삼재해:화재 - 제한됨,더미,Trig_King_Attack → e0NS(%제한됨변화 킹 공속더미1) → A10X,Blo1=0.3,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],^킹 버프 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),❌ 피해 아님(버프·디버프·배율·지속),0,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,✅ 태그 맞음(2026-09-06 재검증: base·atar·오더 4단계 대조)
h00A,흔함,CP9 후쿠로 - 안흔함,더미,Trig_common1 → e0DG(안흔함 더미1) → A0A2,Ucs1=150 Ucs2=7e+07 Ucs4=250,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],⚠CSV에 대응 행 없음 / 0장풍 cp 안흔함 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,150,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h00M,흔함,CP9 블루노 - 안흔함,더미,Trig_common2 → e0DG(안흔함 더미1) → A0A2,Ucs1=150 Ucs2=7e+07 Ucs4=250,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],⚠CSV에 대응 행 없음 / 0장풍 cp 안흔함 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,150,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h00R,특별함,로브 루치 CP9 도력 4000 - 특별함,더미,Trig_Speical7 → e05G(S특별함 루치 더미) → A0A1,Ucs1=600 Ucs2=7e+07 Ucs4=250,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],⚠CSV에 대응 행 없음 / 0장풍 루치 특별함 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — ACca 시체 폭발선 — 대상당 피해,600,해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h01X,희귀함,몽키.D.루피 기어서드 초신성 - 희귀함,트리거,Trig_Unique32,22500.00,Flat,✅ Flat,NORMAL,UNIVERSAL,⚠CSV에 대응 행 없음,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,(Stage[GlobalTV]==2),확정,h01X,
h01X,희귀함,몽키.D.루피 기어서드 초신성 - 희귀함,더미,Trig_Unique32 → e0BR(U희귀함 루피 더미 3) → A0PC,Htb1=10000 arlv=6,스톡능력필드,✅ Flat(값 그대로),[미확인],[미확인],⚠CSV에 대응 행 없음 / C루피희귀 스턴 / 필드뜻[미확인],0,조사함-없음(더미채널),,해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),해당없음(더미채널·RRD 아님),⭕ 피해 있음 — AHtb 폭풍 망치 — 피해,"10,000",해당없음(더미채널 — DUMMY_CHANNEL_GATES.csv 참고),해당없음,,
h026,희귀함,시류 전 임펠다운 간수장 - 희귀함,트리거,Trig_Unique19,"((GetUnitStateSwap(UNIT_STATE_LIFE,GetTriggerUnit())*0.10)*(0.20+(0.05*I2R(GetUnitAbilityLevelSwapped('A11S',GetTriggerUnit())))))",대상현재체력+능력레벨,✅ TargetCurrentHpPercent+계수(대상A11S(폭발형 피해 감수도) 축),MELEE,UNIVERSAL,⚠CSV에 대응 행 없음,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3 AND GetUnitPointValue(GetTriggerUnit())<200",확정,h026,
h026,희귀함,시류 전 임펠다운 간수장 - 희귀함,트리거,Trig_Unique19,12500.00,Flat,✅ Flat,NORMAL,UNIVERSAL,⚠CSV에 대응 행 없음,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,10)==3 AND NOT(GetUnitPointValue(GetTriggerUnit())<200)",확정,h026,
h02I,희귀함,상디 디아블 잠브 - 희귀함,트리거,Trig_Unique1,5000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,⚠CSV에 대응 행 없음,0,조사함-게이트밖,,0.8,1.5,1.15,해당없음(트리거 채널),,"GetRandomInt(1,5)==3",확정,h02I,
h02J,희귀함,킨에몬 와노쿠니의 사무라이 - 희귀함,트리거,Trig_Unique5,6000.00,Flat,✅ Flat,NORMAL,UNIVERSAL,⚠CSV에 대응 행 없음,0,조사함-게이트밖,,1,1,1,해당없음(트리거 채널),,"GetRandomInt(1,12)==3",확정,h02J,
